Name,Thickness,Camber
goe239,0.113023,0.060343
goe240,0.070397,0.051698
goe241,0.189751,0.084009
goe242,0.161936,0.075397
goe243,0.192717,0.084217
goe244,0.178325,0.099952
goe255,0.186234,0.04904
goe256,0.160232,0.047258
goe257,0.088479,0.041303
goe264,0.064358,0.057641
goe265,0.076738,0.073261
goe269,0.066209,0.050403
goe274,0.086763,0.048896
goe275,0.078295,0.047236
goe276,0.073119,0.04052
goe277,0.084334,0.04414
goe278,0.07459,0.042713
goe279,0.074298,0.047392
goe280,0.079438,0.045589
goe281,0.080454,0.045708
goe282,0.091281,0.050515
goe284,0.176516,0.05131
goe285,0.117424,0.036989
goe286,0.094116,0.041175
goe287,0.089081,0.049205
goe288,0.17593,0.056067
goe289,0.168392,0.061351
goe290,0.176071,0.038621
goe298,0.128316,0.045423
goe29b,0.094339,0.065952
goe300,0.084445,0.066917
goe301,0.099338,0.065229
goe303,0.098408,0.058733
goe304,0.089912,0.063195
goe308,0.081046,0.050631
goe309,0.084381,0.046947
goe310,0.081695,0.048176
goe311,0.084681,0.06147
goe314,0.080802,0.046996
goe315,0.081001,0.040912
goe316,0.091394,0.042652
goe318,0.091361,0.043358
goe319,0.102499,0.057717
goe320,0.124108,0.062102
goe321,0.111638,0.051905
goe322,0.130711,0.060698
goe323,0.110499,0.051904
goe324,0.131445,0.059469
goe325,0.083133,0.046464
goe326,0.081985,0.047594
goe328,0.082005,0.04326
goe329,0.101603,0.055733
goe330,0.102242,0.057659
goe331,0.106665,0.068809
goe332,0.117876,0.063685
goe335,0.069153,0.048381
goe336,0.089599,0.054728
goe342,0.05399,0.061673
goe344,0.072029,0.027278
goe346,0.057393,0.038287
goe358,0.109762,0.056209
goe359,0.078455,0.05912
goe360,0.096853,0.058988
goe361,0.068004,0.055618
goe362,0.066018,0.052846
goe363,0.110762,0.057301
goe364,0.10806,0.065292
goe365,0.11732,0.051646
goe366,0.131548,0.072997
goe367,0.163879,0.046109
goe368,0.077154,0.03826
goe369,0.058585,0.054174
goe370,0.046774,0.057491
goe371,0.06961,0.046144
goe372,0.062041,0.043213
goe373,0.065581,0.051288
goe374,0.064718,0.045261
goe375,0.06545,0.044873
goe376,0.066159,0.04981
goe377,0.064486,0.039049
goe379,0.064552,0.052894
goe380,0.065548,0.056197
goe381,0.063819,0.058098
goe382,0.200735,0.060775
goe383,0.202367,0.046571
goe384,0.19573,0.068628
goe385,0.098958,0.041686
goe386,0.203039,0.05437
goe387,0.14885,0.055343
goe388,0.102639,0.054317
goe389,0.103712,0.039974
goe390,0.203208,0.069085
goe391,0.05106,0.032117
goe392,0.101507,0.048637
goe393,0.060818,0.042352
goe394,0.061101,0.058924
goe395,0.061097,0.069805
goe396,0.047528,0.057724
goe397,0.050995,0.039658
goe398,0.138532,0.048272
goe399,0.069018,0.042353
goe400,0.061375,0.049133
goe401,0.071204,0.048725
goe402,0.06829,0.057663
goe403,0.067045,0.043351
goe404,0.132718,0.049885
goe405,0.111004,0.06546
goe406,0.117038,0.055733
goe407,0.094759,0.048289
goe408,0.077771,0.041792
goe409,0.128338,0.000212
goe410,0.16168,0.000239
goe411,0.132886,0.000168
goe412,0.13154,0.051347
goe413,0.164589,0.046651
goe414,0.136095,0.052594
goe415,0.085468,0.036793
goe416a,0.117099,0.013409
goe417,0.060121,0.061522
goe417a,0.032044,0.059439
goe418,0.127324,0.050663
goe419,0.053172,0.041175
goe420,0.187609,0.043428
goe421,0.190226,0.081446
goe422,0.170711,0.065083
goe423,0.170229,0.050471
goe424,0.202099,0.047641
goe425,0.160953,0.045463
goe426,0.136011,0.045684
goe427,0.046407,0.054314
goe428,0.08002,0.052229
goe429,0.114562,0.001997
goe430,0.134219,0.048526
goe431,0.118267,0.073062
goe432,0.077509,0.043493
goe433,0.175049,0.048522
goe434,0.229064,0.049461
goe435,0.26219,0.045333
goe436,0.110447,0.037707
goe437,0.070721,0.048116
goe438,0.110179,0.037911
goe439,0.079433,0.052252
goe440,0.154285,0.097025
goe441,0.16092,0.077565
goe442,0.077461,0.04349
goe443,0.050698,0.000102
goe444,0.056384,0.000102
goe445,0.064266,0.000114
goe446,0.129185,0.063525
goe447,0.126793,0.08051
goe448,0.129102,0.105573
goe449,0.17079,0.053914
goe450,0.089165,0.052324
goe451,0.044081,0.055741
goe456,0.072069,0.052164
goe457,0.078588,0.042446
goe458,0.072068,0.05216
goe459,0.127538,0.000208
goe460,0.205482,0.000253
goe462,0.110781,0.134959
goe464,0.077667,0.099681
goe474,0.069497,0.029401
goe476,0.144641,0.052165
goe477,0.100615,0.048936
goe478,0.133492,0.043115
goe479,0.116038,0.039964
goe480,0.117582,0.055011
goe481,0.136379,0.088958
goe481a,0.153741,0.055372
